customer_id,salary_delay_days,savings_drop_pct,utility_payment_delay_days,discretionary_spend_drop_pct,atm_withdrawal_increase,upi_lending_txn_count,failed_autodebit_count,default_next_30_days
CUST_137,2,0.33,1,0.54,0,0,1,0
CUST_138,8,0.34,6,0.43,2,0,1,1
CUST_139,0,0.37,6,0.35,0,0,2,0
CUST_140,6,0.27,4,0.54,2,2,2,1
CUST_141,5,0.47,6,0.44,1,3,2,1
CUST_142,0,0.27,6,0.34,4,1,0,0
CUST_143,0,0.35,2,0.45,3,1,1,0
CUST_144,9,0.25,1,0.21,4,2,2,1
CUST_145,3,0.23,3,0.24,4,3,0,0
CUST_146,3,0.36,1,0.01,2,2,1,0
CUST_147,4,0.41,5,0.55,1,1,2,1
CUST_148,9,0.29,5,0.06,0,2,2,1
CUST_149,3,0.46,4,0.55,1,0,2,1
CUST_150,9,0.03,2,0.44,0,1,2,0
CUST_151,6,0.06,4,0.59,3,1,2,1
CUST_152,8,0.17,5,0.31,4,2,0,1
CUST_153,4,0.17,3,0.47,1,0,2,0
CUST_154,3,0.27,2,0.55,1,2,1,0
CUST_155,0,0.29,2,0.27,2,1,0,0
CUST_156,6,0.08,4,0.55,0,0,2,0
CUST_157,5,0.11,1,0.4,0,3,0,0
CUST_158,0,0.28,5,0.05,4,3,0,0
CUST_159,6,0.3,4,0.24,2,2,2,1
CUST_160,0,0.02,5,0.5,2,1,0,0
CUST_161,2,0.23,1,0.32,0,1,1,0
CUST_162,5,0.38,3,0.11,4,2,2,1
CUST_163,2,0.19,1,0.54,1,3,0,0
CUST_164,6,0.49,1,0.52,0,0,2,1
CUST_165,2,0.12,2,0.3,0,2,0,0
CUST_166,2,0.44,3,0.14,1,2,1,0
CUST_167,7,0.4,3,0.57,4,1,2,1
CUST_168,6,0.45,6,0.38,0,2,0,1
CUST_169,2,0.06,2,0.35,3,1,1,0
CUST_170,0,0.41,3,0.2,1,2,2,0
CUST_171,6,0.13,4,0.21,0,1,0,0
CUST_172,2,0.47,5,0.47,0,1,1,0
CUST_173,7,0.49,6,0.48,0,1,2,1
CUST_174,0,0.13,1,0.38,0,1,1,0
CUST_175,3,0.07,4,0.1,4,2,1,0
CUST_176,1,0.26,1,0.35,1,0,0,0
CUST_177,8,0.25,3,0.12,1,1,0,0
CUST_178,8,0.13,2,0.36,3,0,0,0
CUST_179,4,0.09,4,0.5,4,3,1,0
CUST_180,9,0.21,1,0.1,2,0,2,1
CUST_181,4,0.3,1,0.04,2,3,2,0
CUST_182,3,0.36,6,0.37,1,2,2,1
CUST_183,7,0.47,4,0.29,1,3,2,1
CUST_184,3,0.08,3,0.03,2,0,2,0
CUST_185,1,0.31,1,0.06,0,3,0,0
CUST_186,0,0.25,2,0.36,0,2,2,0
CUST_187,2,0.04,3,0.42,1,3,2,0
CUST_188,4,0.05,2,0.58,0,1,0,0
CUST_189,6,0.26,3,0.33,2,3,2,1
CUST_190,4,0.38,4,0.42,0,1,0,0
CUST_191,9,0.03,1,0.02,1,3,2,0
CUST_192,0,0.09,4,0.28,4,2,0,0
CUST_193,2,0.46,1,0.25,4,1,2,0
CUST_194,3,0.42,1,0.31,0,1,2,0
CUST_195,7,0.12,3,0.29,2,0,2,1
CUST_196,7,0.22,6,0.04,0,3,0,1
CUST_197,5,0.16,1,0.31,4,1,1,0
CUST_198,1,0.01,1,0.59,2,2,0,0
CUST_199,1,0.47,2,0.04,3,0,1,0
CUST_200,0,0.2,4,0.29,3,2,0,0
CUST_201,9,0.05,6,0.25,4,0,1,1
CUST_202,0,0.06,5,0.18,1,3,1,0
CUST_203,4,0.02,0,0.55,0,2,0,0
CUST_204,8,0.34,3,0.57,4,0,0,1
CUST_205,5,0.49,6,0.57,2,1,0,1
CUST_206,1,0.08,3,0.04,3,0,2,0
CUST_207,5,0.3,4,0.07,2,1,0,0
CUST_208,9,0.02,1,0.47,4,0,1,0
CUST_209,6,0.44,2,0.36,0,0,2,1
CUST_210,9,0.26,1,0.42,2,3,2,1
CUST_211,5,0.31,4,0.32,0,3,1,0
CUST_212,4,0.05,0,0.23,2,3,0,0
CUST_213,8,0.02,1,0.52,0,2,0,0
CUST_214,4,0.37,1,0.25,2,0,1,0
CUST_215,1,0.04,3,0.07,3,0,0,0
CUST_216,0,0.03,4,0.29,4,2,1,0
CUST_217,2,0.17,1,0.33,4,0,0,0
CUST_218,5,0.26,3,0.51,2,3,0,0
CUST_219,8,0.47,3,0.37,3,2,0,1
CUST_220,9,0.23,6,0.5,1,3,2,1
CUST_221,4,0.37,6,0.0,1,1,0,0
CUST_222,6,0.1,4,0.37,0,0,0,0
CUST_223,7,0.13,3,0.01,4,2,1,1
CUST_224,2,0.38,1,0.26,1,2,2,0
CUST_225,4,0.05,3,0.1,3,1,2,0
CUST_226,0,0.39,0,0.35,0,1,1,0
CUST_227,7,0.02,1,0.59,4,3,2,0
CUST_228,2,0.3,3,0.01,2,0,1,0
CUST_229,2,0.13,6,0.27,1,0,0,0
CUST_230,2,0.23,6,0.32,4,0,2,1
CUST_231,3,0.42,6,0.41,2,2,2,1
CUST_232,0,0.48,3,0.44,4,2,1,0
CUST_233,2,0.14,2,0.19,1,3,1,0
CUST_234,1,0.11,0,0.39,3,1,2,0
CUST_235,7,0.08,0,0.52,4,3,2,0
CUST_236,1,0.38,2,0.48,3,0,1,0
CUST_237,2,0.09,6,0.29,0,1,0,0
CUST_238,5,0.11,3,0.04,4,0,1,0
CUST_239,7,0.22,4,0.09,4,1,1,1
CUST_240,1,0.24,6,0.43,2,0,0,0
CUST_241,0,0.48,0,0.02,2,3,0,0
CUST_242,0,0.05,5,0.09,3,3,0,0
CUST_243,9,0.39,1,0.2,1,0,0,1
CUST_244,8,0.18,0,0.49,1,1,2,0
CUST_245,1,0.49,1,0.41,1,2,1,0
CUST_246,9,0.08,0,0.57,4,2,2,1
CUST_247,5,0.3,0,0.03,0,1,1,0
CUST_248,3,0.17,2,0.29,2,3,1,0
CUST_249,9,0.39,6,0.39,0,3,1,1
CUST_250,1,0.03,6,0.39,0,0,2,0
CUST_251,9,0.16,5,0.2,4,2,0,1
CUST_252,6,0.02,3,0.33,1,2,1,0
CUST_253,4,0.5,0,0.3,3,1,2,1
CUST_254,2,0.11,5,0.02,0,2,0,0
CUST_255,4,0.36,4,0.51,4,3,1,1
CUST_256,3,0.25,1,0.52,0,3,1,0
CUST_257,4,0.2,3,0.52,1,3,1,0
CUST_258,6,0.14,2,0.17,4,3,2,1
CUST_259,1,0.32,6,0.14,1,3,1,0
CUST_260,6,0.32,5,0.58,4,0,1,1
CUST_261,8,0.12,3,0.24,0,3,1,0
CUST_262,6,0.08,2,0.19,3,1,2,0
CUST_263,4,0.0,0,0.46,3,0,2,0
CUST_264,9,0.04,5,0.2,4,1,1,1
CUST_265,8,0.22,3,0.35,3,0,0,1
CUST_266,5,0.08,0,0.36,4,3,0,0
CUST_267,0,0.42,3,0.27,3,2,0,0
CUST_268,3,0.13,1,0.07,4,3,1,0
CUST_269,0,0.06,5,0.11,2,0,0,0
CUST_270,0,0.29,3,0.09,4,1,2,0
CUST_271,1,0.16,4,0.52,2,1,2,0
CUST_272,5,0.07,5,0.18,1,1,2,0
CUST_273,7,0.48,0,0.44,4,3,1,1
CUST_274,4,0.48,6,0.42,1,2,1,1
CUST_275,1,0.12,1,0.52,0,3,2,0
CUST_276,7,0.4,3,0.41,2,2,1,1
CUST_277,4,0.33,0,0.06,3,1,1,0
CUST_278,5,0.16,0,0.24,4,0,0,0
CUST_279,8,0.05,1,0.24,3,1,2,0
CUST_280,5,0.45,4,0.48,2,0,2,1
CUST_281,0,0.06,5,0.39,4,2,0,0
CUST_282,9,0.2,4,0.23,4,0,0,1
CUST_283,0,0.27,2,0.14,1,2,2,0
CUST_284,7,0.33,1,0.46,0,2,0,0
CUST_285,9,0.48,1,0.29,4,0,1,1
CUST_286,8,0.19,1,0.32,3,3,2,1
CUST_287,6,0.41,1,0.43,2,0,0,0
CUST_288,6,0.22,6,0.04,0,3,2,1
CUST_289,2,0.03,4,0.29,2,1,1,0
CUST_290,3,0.13,3,0.4,4,2,2,0
CUST_291,7,0.16,3,0.43,1,0,0,0
CUST_292,3,0.41,5,0.11,3,1,2,1
CUST_293,6,0.15,0,0.34,1,3,1,0
CUST_294,6,0.41,3,0.03,1,2,2,1
CUST_295,6,0.32,4,0.53,0,1,0,0
CUST_296,9,0.09,0,0.5,0,1,2,0
CUST_297,4,0.15,2,0.51,1,0,1,0
CUST_298,2,0.31,0,0.25,4,2,0,0
CUST_299,2,0.43,0,0.13,0,1,0,0
CUST_300,2,0.3,2,0.14,4,0,0,0
CUST_301,8,0.49,2,0.36,1,2,1,1
CUST_302,5,0.22,0,0.42,3,1,2,0
CUST_303,3,0.36,1,0.54,4,1,0,0
CUST_304,0,0.3,0,0.19,2,1,0,0
CUST_305,6,0.03,0,0.5,3,0,2,0
CUST_306,4,0.14,1,0.41,3,0,1,0
CUST_307,2,0.1,1,0.6,1,1,0,0
CUST_308,2,0.37,5,0.2,3,1,0,0
CUST_309,8,0.09,1,0.06,0,2,0,0
CUST_310,7,0.4,5,0.14,3,2,1,1
CUST_311,4,0.37,3,0.15,4,3,1,1
CUST_312,5,0.04,6,0.52,4,3,1,0
CUST_313,3,0.35,5,0.07,1,0,1,0
CUST_314,8,0.04,2,0.14,0,2,2,0
CUST_315,3,0.14,1,0.36,2,1,2,0
CUST_316,5,0.28,3,0.13,0,1,1,0
CUST_317,1,0.31,5,0.53,2,3,2,0
CUST_318,3,0.41,6,0.24,1,2,1,1
CUST_319,2,0.17,3,0.34,1,0,1,0
CUST_320,8,0.24,0,0.55,0,1,1,0
CUST_321,3,0.25,0,0.5,4,0,1,0
CUST_322,7,0.24,3,0.08,3,0,0,1
CUST_323,3,0.22,3,0.51,4,2,1,0
CUST_324,1,0.33,2,0.23,4,2,1,0
CUST_325,9,0.11,5,0.6,4,2,2,1
CUST_326,8,0.22,0,0.09,0,3,1,0
CUST_327,2,0.09,3,0.37,3,2,0,0
CUST_328,4,0.31,3,0.1,3,3,1,0
CUST_329,6,0.36,4,0.53,4,2,2,1
CUST_330,5,0.41,4,0.23,4,1,2,1
CUST_331,1,0.07,4,0.01,4,1,2,0
CUST_332,9,0.09,4,0.13,4,1,1,1
CUST_333,4,0.1,4,0.58,3,0,2,0
CUST_334,0,0.27,6,0.3,4,1,1,0
CUST_335,3,0.43,3,0.39,2,0,0,0
CUST_336,3,0.43,1,0.47,4,0,0,0
CUST_337,0,0.33,0,0.41,3,3,0,0
CUST_338,0,0.42,1,0.15,4,3,2,0
CUST_339,6,0.33,2,0.27,0,2,0,0
CUST_340,6,0.26,2,0.06,3,0,2,1
CUST_341,4,0.02,0,0.45,0,0,2,0
CUST_342,7,0.05,0,0.57,4,3,1,0
CUST_343,3,0.17,6,0.57,2,3,2,0
CUST_344,9,0.05,5,0.5,1,1,2,1
CUST_345,0,0.15,0,0.59,1,2,0,0
CUST_346,3,0.31,5,0.04,0,1,2,0
CUST_347,1,0.16,3,0.18,1,1,0,0
CUST_348,4,0.46,3,0.09,1,2,0,0
CUST_349,7,0.3,0,0.22,2,1,1,0
CUST_350,8,0.08,3,0.14,4,3,2,1
CUST_351,0,0.32,2,0.4,0,3,0,0
CUST_352,1,0.32,5,0.28,3,3,2,0
CUST_353,5,0.38,0,0.56,4,0,1,0
CUST_354,1,0.07,6,0.06,1,2,2,0
CUST_355,2,0.08,3,0.44,2,0,0,0
CUST_356,0,0.25,6,0.06,4,1,2,0
CUST_357,8,0.38,6,0.1,1,3,0,1
CUST_358,4,0.44,3,0.06,1,1,2,1
CUST_359,8,0.28,5,0.37,2,1,0,1
CUST_360,8,0.28,5,0.51,1,1,0,1
CUST_361,8,0.48,0,0.41,2,2,2,1
CUST_362,5,0.44,4,0.07,4,3,1,1
CUST_363,7,0.11,1,0.23,4,1,2,0
CUST_364,4,0.01,5,0.21,0,0,0,0
CUST_365,6,0.44,4,0.39,4,3,1,1
CUST_366,6,0.35,5,0.29,1,2,2,1
CUST_367,2,0.25,5,0.09,4,3,1,0
CUST_368,9,0.35,6,0.5,2,3,0,1
CUST_369,3,0.06,0,0.26,1,2,0,0
CUST_370,8,0.47,4,0.1,3,3,2,1
CUST_371,5,0.5,3,0.23,0,1,0,0
CUST_372,8,0.28,1,0.2,4,2,0,1
CUST_373,5,0.14,0,0.56,2,0,2,0
CUST_374,9,0.43,1,0.52,4,3,0,1
CUST_375,3,0.4,1,0.56,3,1,1,0
CUST_376,3,0.02,6,0.3,0,3,0,0
CUST_377,3,0.38,5,0.14,3,3,0,0
CUST_378,3,0.33,3,0.01,3,1,1,0
CUST_379,5,0.13,2,0.17,1,3,1,0
CUST_380,9,0.42,5,0.04,4,3,2,1
CUST_381,3,0.31,2,0.08,3,1,0,0
CUST_382,6,0.04,6,0.01,2,3,2,1
CUST_383,6,0.2,1,0.25,0,0,1,0
CUST_384,4,0.13,2,0.44,4,3,0,0
CUST_385,2,0.15,4,0.37,0,0,0,0
CUST_386,0,0.08,3,0.25,0,2,1,0
CUST_387,6,0.27,4,0.14,3,1,2,1
CUST_388,8,0.4,0,0.33,1,0,1,1
CUST_389,4,0.07,5,0.51,1,1,1,0
CUST_390,2,0.33,5,0.17,3,2,1,0
CUST_391,2,0.03,6,0.3,4,3,1,0
CUST_392,3,0.38,5,0.01,4,2,1,1
CUST_393,3,0.44,2,0.57,1,3,1,0
CUST_394,0,0.01,0,0.06,2,3,0,0
CUST_395,9,0.25,5,0.22,0,2,1,1
CUST_396,2,0.22,2,0.12,1,3,0,0
CUST_397,3,0.14,6,0.39,1,1,1,0
CUST_398,1,0.16,2,0.22,2,1,2,0
CUST_399,7,0.25,3,0.12,4,3,2,1
CUST_400,4,0.22,5,0.58,2,3,0,0
CUST_401,6,0.48,6,0.29,4,0,1,1
CUST_402,1,0.08,5,0.59,2,2,2,0
CUST_403,4,0.28,0,0.02,3,1,1,0
CUST_404,4,0.49,3,0.51,3,1,1,1
CUST_405,5,0.36,3,0.59,1,2,0,0
CUST_406,4,0.13,5,0.5,3,1,1,0
CUST_407,4,0.06,1,0.06,4,2,1,0
CUST_408,8,0.37,1,0.45,0,2,1,1
CUST_409,0,0.42,2,0.51,2,2,0,0
CUST_410,3,0.37,1,0.2,3,2,2,0
CUST_411,5,0.43,3,0.6,2,3,1,1
CUST_412,8,0.11,6,0.13,2,0,0,1
CUST_413,4,0.33,5,0.54,0,2,0,0
CUST_414,2,0.03,6,0.16,0,1,2,0
CUST_415,6,0.08,1,0.27,3,0,1,0
CUST_416,2,0.21,6,0.07,3,0,0,0
CUST_417,7,0.37,1,0.58,0,2,1,0
CUST_418,2,0.41,2,0.48,3,0,2,0
CUST_419,8,0.15,6,0.32,2,2,1,1
CUST_420,7,0.35,4,0.04,0,1,0,1
CUST_421,0,0.23,0,0.49,4,2,0,0
CUST_422,8,0.02,3,0.53,1,0,0,0
CUST_423,5,0.45,6,0.38,4,1,0,1
CUST_424,2,0.13,5,0.51,4,0,0,0
CUST_425,2,0.24,4,0.06,4,0,2,0
CUST_426,0,0.03,0,0.02,3,1,1,0
CUST_427,8,0.17,3,0.27,4,2,1,1
CUST_428,3,0.39,2,0.14,3,3,1,0
CUST_429,2,0.33,1,0.16,2,2,0,0
CUST_430,0,0.13,5,0.04,0,1,0,0
CUST_431,5,0.02,2,0.17,0,0,0,0
CUST_432,0,0.31,5,0.37,4,3,0,0
CUST_433,5,0.43,0,0.13,2,3,0,0
CUST_434,9,0.23,4,0.34,1,2,1,1
CUST_435,8,0.2,4,0.17,0,3,0,0
CUST_436,2,0.44,6,0.52,4,3,2,1
CUST_437,2,0.23,6,0.16,0,3,2,0
CUST_438,7,0.45,4,0.15,4,3,0,1
CUST_439,9,0.48,1,0.43,0,2,1,1
CUST_440,6,0.36,6,0.04,3,1,1,1
CUST_441,1,0.33,0,0.27,1,0,2,0
CUST_442,7,0.38,0,0.24,2,2,0,0
CUST_443,6,0.21,4,0.41,1,2,2,1
CUST_444,9,0.25,2,0.55,0,2,2,1
CUST_445,3,0.32,4,0.54,2,3,1,0
CUST_446,7,0.41,0,0.25,2,2,0,0
CUST_447,6,0.29,1,0.55,0,2,2,0
CUST_448,8,0.36,0,0.04,4,1,2,1
CUST_449,1,0.2,4,0.17,4,1,1,0
CUST_450,1,0.19,2,0.51,0,2,2,0
CUST_451,7,0.44,1,0.22,3,3,0,1
CUST_452,7,0.19,3,0.26,3,0,0,0
CUST_453,0,0.47,2,0.02,3,1,2,0
CUST_454,0,0.05,4,0.32,3,3,1,0
CUST_455,0,0.05,0,0.08,4,1,2,0
CUST_456,2,0.48,3,0.06,2,3,2,0
CUST_457,9,0.2,5,0.45,4,1,1,1
CUST_458,4,0.42,4,0.57,4,2,2,1
CUST_459,5,0.3,3,0.33,4,0,2,1
CUST_460,3,0.02,5,0.32,4,0,0,0
CUST_461,1,0.08,4,0.5,2,2,1,0
CUST_462,1,0.13,2,0.11,4,1,2,0
CUST_463,4,0.48,6,0.33,0,3,2,1
CUST_464,7,0.5,4,0.38,2,3,2,1
CUST_465,0,0.37,1,0.37,0,3,1,0
CUST_466,2,0.1,4,0.09,4,0,0,0
CUST_467,3,0.45,6,0.58,4,1,2,1
CUST_468,5,0.27,3,0.02,2,2,0,0
CUST_469,0,0.34,0,0.53,3,1,0,0
CUST_470,2,0.23,3,0.29,1,3,1,0
CUST_471,0,0.28,6,0.23,2,3,0,0
CUST_472,2,0.29,2,0.54,2,1,2,0
CUST_473,3,0.4,2,0.12,0,3,0,0
CUST_474,0,0.32,0,0.54,2,2,1,0
CUST_475,2,0.22,4,0.58,4,2,2,0
CUST_476,1,0.24,4,0.02,2,1,1,0
CUST_477,9,0.32,4,0.22,1,0,2,1
CUST_478,7,0.26,5,0.01,2,1,1,1
CUST_479,0,0.04,5,0.01,0,3,0,0
CUST_480,4,0.37,4,0.0,4,3,0,1
CUST_481,0,0.42,1,0.06,0,1,1,0
CUST_482,3,0.2,5,0.18,2,1,0,0
CUST_483,1,0.0,2,0.31,1,3,0,0
CUST_484,6,0.42,3,0.42,3,1,1,1
CUST_485,9,0.2,6,0.13,1,2,2,1
CUST_486,7,0.15,5,0.16,4,2,0,1
CUST_487,6,0.11,0,0.13,4,0,2,0
CUST_488,4,0.21,0,0.07,0,2,2,0
CUST_489,9,0.29,5,0.04,1,1,1,1
CUST_490,3,0.15,6,0.33,3,0,2,0
CUST_491,6,0.36,3,0.3,1,1,1,1
CUST_492,8,0.37,6,0.06,0,1,0,1
CUST_493,9,0.36,5,0.42,1,3,0,1
CUST_494,5,0.12,0,0.05,3,2,0,0
CUST_495,0,0.06,0,0.51,3,3,1,0
CUST_496,2,0.22,0,0.23,3,2,0,0
CUST_497,0,0.34,1,0.34,3,2,0,0
CUST_498,7,0.34,6,0.1,4,2,0,1
CUST_499,4,0.48,3,0.08,3,2,0,0
CUST_500,8,0.05,2,0.38,4,1,0,0
